Cell V_kV Wsyn_MeV Sig0T_deg Sig0L_deg A10 Phi_deg a_cm m B L_cm Z_cm A0 RFdef Oct A1
36 55.2 0.1524077258 366.6524785 28.13990431 0.1479041053 -75.90604027 0.3765100671 1.187919463 3.234899329 1.667542379 38.75914768 1 0 0 0
37 55.2 0.1603262679 365.7072736 28.56977654 0.1527307346 -75.5033557 0.3758389262 1.193288591 3.241610738 1.710302702 40.46945038 1 0 0 0
38 55.2 0.1684885893 364.77169 28.9879657 0.1575247775 -75.10067114 0.3751677852 1.198657718 3.248322148 1.753287168 42.22273755 1 0 0 0
39 55.2 0.1768916108 363.8456056 29.39482434 0.1622851385 -74.69798658 0.3744966443 1.204026846 3.255033557 1.79646396 44.01920151 1 0 0 0
40 55.2 0.1855321678 362.9289008 29.79069822 0.1670109896 -74.29530201 0.3738255034 1.209395973 3.261744966 1.839803757 45.85900527 1 0 0 0
41 55.2 0.1944070248 362.0214578 30.17592423 0.1717017285 -73.89261745 0.3731543624 1.214765101 3.268456376 1.883279541 47.74228481 1 0 0 0
42 55.2 0.2035128888 361.1231612 30.55082888 0.1763569438 -73.48993289 0.3724832215 1.220134228 3.275167785 1.926866432 49.66915124 1 0 0 0
43 55.2 0.2128464203 360.2338975 30.91572729 0.1809763827 -73.08724832 0.3718120805 1.225503356 3.281879195 1.970541507 51.63969275 1 0 0 0
44 55.2 0.2224042422 359.3535553 31.27092248 0.1855599253 -72.68456376 0.3711409396 1.230872483 3.288590604 2.014283654 53.6539764 1 0 0 0
45 55.2 0.2321829482 358.4820251 31.61670501 0.1901075609 -72.28187919 0.3704697987 1.236241611 3.295302013 2.058073411 55.71204981 1 0 0 0
46 55.2 0.2421791085 357.6191993 31.95335285 0.194619369 -71.87919463 0.3697986577 1.241610738 3.302013423 2.101892837 57.81394265 1 0 0 0
47 55.2 0.2523892761 356.7649723 32.28113139 0.1990955022 -71.47651007 0.3691275168 1.246979866 3.308724832 2.145725378 59.95966803 1 0 0 0
48 55.2 0.2628099905 355.9192403 32.60029366 0.2035361723 -71.0738255 0.3684563758 1.252348993 3.315436242 2.18955575 62.14922378 1 0 0 0
49 55.2 0.273437782 355.0819013 32.9110806 0.2079416386 -70.67114094 0.3677852349 1.257718121 3.322147651 2.233369832 64.38259361 1 0 0 0
50 55.2 0.2842691743 354.2528549 33.21372142 0.2123121977 -70.26845638 0.367114094 1.263087248 3.32885906 2.277154562 66.65974817 1 0 0 0
51 55.2 0.2953006872 353.4320028 33.50843403 0.2166481754 -69.86577181 0.366442953 1.268456376 3.33557047 2.320897848 68.98064602 1 0 0 0
52 55.2 0.3065288387 352.6192481 33.79542549 0.2209499193 -69.46308725 0.3657718121 1.273825503 3.342281879 2.364588487 71.34523451 1 0 0 0
53 55.2 0.3179501465 351.8144957 34.07489248 0.2252177937 -69.06040268 0.3651006711 1.279194631 3.348993289 2.408216081 73.75345059 1 0 0 0
54 55.2 0.3295611295 351.017652 34.34702178 0.2294521742 -68.65771812 0.3644295302 1.284563758 3.355704698 2.451770976 76.20522156 1 0 0 0
55 55.2 0.3413583086 350.2286251 34.61199076 0.2336534442 -68.25503356 0.3637583893 1.289932886 3.362416107 2.495244193 78.70046575 1 0 0 0
56 55.2 0.3533382076 349.4473247 34.86996787 0.2378219913 -67.85234899 0.3630872483 1.295302013 3.369127517 2.538627372 81.23909313 1 0 0 0
57 55.2 0.3654973542 348.6736619 35.1211131 0.2419582049 -67.44966443 0.3624161074 1.300671141 3.375838926 2.58191272 83.82100585 1 0 0 0
58 55.2 0.37783228 347.9075493 35.36557839 0.246062474 -67.04697987 0.3617449664 1.306040268 3.382550336 2.625092963 86.44609881 1 0 0 0
59 55.2 0.3903395214 347.1489011 35.60350815 0.2501351856 -66.6442953 0.3610738255 1.311409396 3.389261745 2.668161302 89.11426011 1 0 0 0
60 55.2 0.4030156193 346.3976328 35.83503959 0.254176723 -66.24161074 0.3604026846 1.316778523 3.395973154 2.711111375 91.82537149 1 0 0 0
61 55.2 0.4158571199 345.6536614 36.0603032 0.2581874652 -65.83892617 0.3597315436 1.322147651 3.402684564 2.753937217 94.5793087 1 0 0 0
62 55.2 0.4288605746 344.9169053 36.27942305 0.2621677856 -65.43624161 0.3590604027 1.327516779 3.409395973 2.796633234 97.37594194 1 0 0 0
63 55.2 0.44202254 344.1872841 36.4925172 0.2661180517 -65.03355705 0.3583892617 1.332885906 3.416107383 2.839194166 100.2151361 1 0 0 0
64 55.2 0.4553395781 343.4647189 36.69969803 0.2700386244 -64.63087248 0.3577181208 1.338255034 3.422818792 2.881615065 103.0967512 1 0 0 0
65 55.2 0.4688082564 342.7491321 36.90107253 0.2739298581 -64.22818792 0.3570469799 1.343624161 3.429530201 2.923891269 106.0206424 1 0 0 0
66 55.2 0.482425148 342.0404471 37.09674264 0.2777920997 -63.82550336 0.3563758389 1.348993289 3.436241611 2.966018378 108.9866608 1 0 0 0
67 55.2 0.4961868311 341.3385889 37.28680551 0.2816256894 -63.42281879 0.355704698 1.354362416 3.44295302 3.007992235 111.994653 1 0 0 0
68 55.2 0.5100898898 340.6434836 37.47135377 0.28543096 -63.02013423 0.355033557 1.359731544 3.44966443 3.049808906 115.044462 1 0 0 0
69 55.2 0.5241309133 339.9550583 37.65047578 0.289208237 -62.61744966 0.3543624161 1.365100671 3.456375839 3.091464664 118.1359266 1 0 0 0
70 55.2 0.5383064966 339.2732417 37.82425584 0.292957839 -62.2147651 0.3536912752 1.370469799 3.463087248 3.132955974 121.2688826 1 0 0 0
71 55.2 0.5526132399 338.5979632 37.99277446 0.2966800774 -61.81208054 0.3530201342 1.375838926 3.469798658 3.174279476 124.4431621 1 0 0 0
72 55.2 0.567047749 337.9291537 38.15610852 0.3003752569 -61.40939597 0.3523489933 1.381208054 3.476510067 3.215431975 127.658594 1 0 0 0
73 55.2 0.5816066352 337.266745 38.31433148 0.3040436751 -61.00671141 0.3516778523 1.386577181 3.483221477 3.256410425 130.9150045 1 0 0 0
74 55.2 0.5962865151 336.61067 38.46751356 0.3076856234 -60.60402685 0.3510067114 1.391946309 3.489932886 3.297211925 134.2122164 1 0 0 0
75 55.2 0.6110840111 335.9608628 38.61572188 0.3113013865 -60.20134228 0.3503355705 1.397315436 3.496644295 3.3378337 137.5500501 1 0 0 0
76 55.2 0.6259957509 335.3172584 38.75902068 0.3148912429 -59.79865772 0.3496644295 1.402684564 3.503355705 3.378273098 140.9283232 1 0 0 0
77 55.2 0.6410183677 334.679793 38.8974714 0.3184554653 -59.39597315 0.3489932886 1.408053691 3.510067114 3.418527581 144.3468508 1 0 0 0
78 55.2 0.6561485005 334.0484036 39.03113286 0.3219943203 -58.99328859 0.3483221477 1.413422819 3.516778523 3.458594713 147.8054455 1 0 0 0
79 55.2 0.6713827939 333.4230284 39.16006138 0.3255080689 -58.59060403 0.3476510067 1.418791946 3.523489933 3.49847216 151.3039176 1 0 0 0
80 55.2 0.6867178979 332.8036064 39.28431088 0.3289969667 -58.18791946 0.3469798658 1.424161074 3.530201342 3.538157675 154.8420753 1 0 0 0
81 55.2 0.7021504688 332.1900778 39.40393304 0.3324612641 -57.7852349 0.3463087248 1.429530201 3.536912752 3.577649098 158.4197244 1 0 0 0
82 55.2 0.7176771681 331.5823833 39.51897735 0.3359012062 -57.38255034 0.3456375839 1.434899329 3.543624161 3.616944348 162.0366688 1 0 0 0
83 55.2 0.7332946639 330.980465 39.62949125 0.3393170334 -56.97986577 0.344966443 1.440268456 3.55033557 3.656041419 165.6927102 1 0 0 0
84 55.2 0.7489996296 330.3842657 39.7355202 0.3427089813 -56.57718121 0.344295302 1.445637584 3.55704698 3.694938373 169.3876486 1 0 0 0
85 55.2 0.7647887453 329.793729 39.83710778 0.346077281 -56.17449664 0.3436241611 1.451006711 3.563758389 3.733633339 173.1212819 1 0 0 0
86 55.2 0.7806586968 329.2087996 39.93429579 0.3494221591 -55.77181208 0.3429530201 1.456375839 3.570469799 3.772124506 176.8934064 1 0 0 0
87 55.2 0.7966061766 328.6294228 40.02712426 0.3527438381 -55.36912752 0.3422818792 1.461744966 3.577181208 3.810410119 180.7038165 1 0 0 0
88 55.2 0.8126278834 328.0555448 40.11563161 0.3560425364 -54.96644295 0.3416107383 1.467114094 3.583892617 3.848488479 184.552305 1 0 0 0
89 55.2 0.8287205224 327.4871129 40.19985465 0.3593184684 -54.56375839 0.3409395973 1.472483221 3.590604027 3.886357935 188.4386629 1 0 0 0
90 55.2 0.8448808055 326.9240749 40.27982868 0.362571845 -54.16107383 0.3402684564 1.477852349 3.597315436 3.924016885 192.3626798 1 0 0 0
91 55.2 0.8611054515 326.3663795 40.35558752 0.365802873 -53.75838926 0.3395973154 1.483221477 3.604026846 3.961463772 196.3241436 1 0 0 0
92 55.2 0.877391186 325.8139761 40.4271636 0.369011756 -53.3557047 0.3389261745 1.488590604 3.610738255 3.998697079 200.3228407 1 0 0 0
93 55.2 0.8937347415 325.2668152 40.49458798 0.3721986942 -52.95302013 0.3382550336 1.493959732 3.617449664 4.03571533 204.358556 1 0 0 0
94 55.2 0.9101328581 324.7248475 40.55789041 0.3753638846 -52.55033557 0.3375838926 1.499328859 3.624161074 4.072517086 208.4310731 1 0 0 0
95 55.2 0.9265822828 324.188025 40.61709939 0.3785075207 -52.14765101 0.3369127517 1.504697987 3.630872483 4.109100943 212.540174 1 0 0 0
96 55.2 0.9430797705 323.6563001 40.67224219 0.3816297934 -51.74496644 0.3362416107 1.510067114 3.637583893 4.145465531 216.6856396 1 0 0 0
97 55.2 0.9596220833 323.129626 40.7233449 0.3847308903 -51.34228188 0.3355704698 1.515436242 3.644295302 4.18160951 220.8672491 1 0 0 0
98 55.2 0.9762059915 322.6079567 40.77043247 0.3878109963 -50.93959732 0.3348993289 1.520805369 3.651006711 4.21753157 225.0847806 1 0 0 0
99 55.2 0.9928282731 322.0912467 40.81352875 0.3908702937 -50.53691275 0.3342281879 1.526174497 3.657718121 4.253230431 229.3380111 1 0 0 0
100 55.2 1.009485714 321.5794513 40.85265649 0.3939089619 -50.13422819 0.333557047 1.531543624 3.66442953 4.288704837 233.6267159 1 0 0 0
101 55.2 1.02617511 321.0725265 40.88783741 0.3969271778 -49.73154362 0.332885906 1.536912752 3.67114094 4.323953559 237.9506695 1 0 0 0
102 55.2 1.042893262 320.570429 40.91909221 0.399925116 -49.32885906 0.3322147651 1.542281879 3.677852349 4.358975391 242.3096449 1 0 0 0
103 55.2 1.059636983 320.0731159 40.9464406 0.4029029483 -48.9261745 0.3315436242 1.547651007 3.684563758 4.393769149 246.703414 1 0 0 0
104 55.2 1.076403093 319.5805453 40.96990131 0.4058608445 -48.52348993 0.3308724832 1.553020134 3.691275168 4.428333672 251.1317477 1 0 0 0
105 55.2 1.093188422 319.0926756 40.98949215 0.408798972 -48.12080537 0.3302013423 1.558389262 3.697986577 4.462667819 255.5944155 1 0 0 0
106 55.2 1.109989806 318.609466 41.00522997 0.411717496 -47.71812081 0.3295302013 1.563758389 3.704697987 4.496770468 260.091186 1 0 0 0
107 55.2 1.126804095 318.1308763 41.01713075 0.4146165795 -47.31543624 0.3288590604 1.569127517 3.711409396 4.530640514 264.6218265 1 0 0 0
108 55.2 1.143628145 317.6568668 41.02520956 0.4174963836 -46.91275168 0.3281879195 1.574496644 3.718120805 4.564276873 269.1861034 1 0 0 0
109 55.2 1.160458823 317.1873985 41.0294806 0.4203570672 -46.51006711 0.3275167785 1.579865772 3.724832215 4.597678474 273.7837818 1 0 0 0
