Cell V Wsyn Sig0T Sig0L A10 Phi a m B L Z A0 RFdef Oct A1
0 55.2 0.03 406.93979898751616 0.0 0.0 -90.0 0.4 1.0 3.0 0.0 0.0 1.0 0.0 0.0 0.0
1 55.2 0.03 406.93979898751616 0.0 0.0 -90.0 0.4 1.0 3.0 0.7399059246921634 0.7399059246921634 1.0 0.0 0.0 0.0
2 55.2 0.030158565838880373 405.5594390724517 3.982032632718803 0.0028726404919600743 -89.59731543624162 0.3993288590604027 1.0053691275167784 3.0067114093959733 0.7399059246921634 1.4798118493843269 1.0 0.0 0.0 0.0
3 55.2 0.030475396275843294 404.19485314903267 5.628769287889854 0.00574024890112238 -89.19463087248322 0.3986577181208054 1.010738255033557 3.0134228187919465 0.7418586503755483 2.2216704997598753 1.0 0.0 0.0 0.0
4 55.2 0.030951508882023807 402.84579801231075 6.90009134852947 0.008627145929772276 -88.79194630872483 0.39798657718120806 1.0161073825503355 3.0201342281879193 0.7457450738918188 2.967415573651694 1.0 0.0 0.0 0.0
5 55.2 0.031589170096066536 401.5120355977617 7.9853692090142525 0.01155639993194921 -88.38926174496645 0.39731543624161075 1.0214765100671142 3.0268456375838926 0.7515475442807442 3.7189631179324385 1.0 0.0 0.0 0.0
6 55.2 0.032391803243226235 400.19333284719664 8.958979557738152 0.014549438044083738 -87.98657718120805 0.39664429530201345 1.0268456375838926 3.033557046979866 0.7592493592028323 4.478212477135271 1.0 0.0 0.0 0.0
7 55.2 0.03336387607878307 398.88946157885783 9.859375414075878 0.017625684048411194 -87.58389261744966 0.39597315436241615 1.0322147651006712 3.040268456375839 0.7688340518896738 5.247046529024945 1.0 0.0 0.0 0.0
8 55.2 0.03451076960080809 397.6001983615515 10.709311471915548 0.02080222596611388 -87.18120805369128 0.3953020134228188 1.0375838926174497 3.046979865771812 0.7802844633420796 6.027330992367024 1.0 0.0 0.0 0.0
9 55.2 0.035838630371150704 396.3253243926688 11.523284125381165 0.024093522041007176 -86.77852348993288 0.3946308724832215 1.0429530201342283 3.053691275167785 0.793581680632562 6.820912672999587 1.0 0.0 0.0 0.0
10 55.2 0.037354209339524234 395.0646253799579 12.310885298683958 0.027511158604438174 -86.3758389261745 0.3939597315436242 1.0483221476510067 3.0604026845637584 0.8087039284008851 7.629616601400472 1.0 0.0 0.0 0.0
11 55.2 0.03906469106969106 393.8178914269123 13.07853864224448 0.031063676106649944 -85.97315436241611 0.3932885906040269 1.0536912751677852 3.0671140939597317 0.8256255015475278 8.455242102948 1.0 0.0 0.0 0.0
12 55.2 0.040977518158188744 392.58491692164733 13.830499226339192 0.0347564795096457 -85.57046979865771 0.3926174496644296 1.0590604026845638 3.073825503355705 0.8443158223277528 9.299557925275753 1.0 0.0 0.0 0.0
13 55.2 0.04310021633593088 391.3655004291419 14.569482412708176 0.038591845923058504 -85.16778523489933 0.3919463087248322 1.0644295302013422 3.0805369127516777 0.8647386940112847 10.164296619287038 1.0 0.0 0.0 0.0
14 55.2 0.04544022609023162 390.1594445867267 15.297090423674502 0.042569036130024863 -84.76510067114094 0.3912751677852349 1.0697986577181209 3.087248322147651 0.8868518065272296 11.051148425814267 1.0 0.0 0.0 0.0
15 55.2 0.04800474652977917 388.9665560027066 16.01412014300989 0.04668450840629267 -84.36241610738256 0.3906040268456376 1.0751677852348993 3.0939597315436242 0.9106065282433569 11.961754954057623 1.0 0.0 0.0 0.0
16 55.2 0.05080059660439072 387.78664515800676 16.72079565873451 0.050932224141296174 -83.95973154362416 0.3899328859060403 1.0805369127516777 3.1006711409395975 0.9359479942857076 12.89770294834333 1.0 0.0 0.0 0.0
17 55.2 0.05383409773556204 386.6195263107387 17.416949018617814 0.055304026732134776 -83.55704697986577 0.38926174496644295 1.0859060402684564 3.1073825503355703 0.9628154780807461 13.860518426424075 1.0 0.0 0.0 0.0
18 55.2 0.05711098053683008 385.4650174035861 18.102162305282878 0.059790069366952144 -83.15436241610738 0.38859060402684564 1.0912751677852348 3.1140939597315436 0.9911430118413548 14.851661438265431 1.0 0.0 0.0 0.0
19 55.2 0.060636316774607485 384.3229399739129 18.775878775113046 0.06437926448167318 -82.75167785234899 0.38791946308724834 1.0966442953020135 3.120805369127517 1.0208602055334481 15.87252164379888 1.0 0.0 0.0 0.0
20 55.2 0.0644144762220189 383.1931190665014 19.437488128385883 0.06905972809363904 -82.3489932885906 0.38724832214765104 1.1020134228187919 3.12751677852349 1.0518932040990707 16.92441484789795 1.0 0.0 0.0 0.0
21 55.2 0.06844910674895921 382.0753831488305 20.08638973768136 0.07381919549178032 -81.94630872483222 0.38657718120805373 1.1073825503355705 3.134228187919463 1.08416571955696 18.00858056745491 1.0 0.0 0.0 0.0
22 55.2 0.07274313498304924 380.9695640288104 20.722037144282016 0.07864539007153294 -81.54362416107382 0.3859060402684564 1.112751677852349 3.140939597315436 1.1176000776043342 19.126180645059243 1.0 0.0 0.0 0.0
23 55.2 0.07729878422251496 379.87549677488715 21.343966921511385 0.08352633341287552 -81.14093959731544 0.38523489932885907 1.1181208053691276 3.1476510067114094 1.1521182261510055 20.27829887121025 1.0 0.0 0.0 0.0
24 55.2 0.08211760598207403 378.793019638443 21.951814867019706 0.0884505910195152 -80.73825503355705 0.38456375838926177 1.123489932885906 3.1543624161073827 1.187642664049101 21.46594153525935 1.0 0.0 0.0 0.0
25 55.2 0.08720052156298204 377.72197397841137 22.54532231064354 0.09340745369944016 -80.33557046979865 0.38389261744966446 1.1288590604026845 3.1610738255033555 1.224097260544402 22.69003879580375 1.0 0.0 0.0 0.0
26 55.2 0.09254787028839369 376.662204188036 23.124335072411583 0.09838705889137983 -79.93288590604027 0.3832214765100671 1.1342281879194631 3.1677852348993287 1.261407947972949 23.9514467437767 1.0 0.0 0.0 0.0
27 55.2 0.09815946145595535 375.61355762370334 23.68879728386744 0.10338045915716922 -79.53020134228188 0.3825503355704698 1.1395973154362415 3.174496644295302 1.2995032809051528 25.250950024681853 1.0 0.0 0.0 0.0
28 55.2 0.10403462755602975 374.5758845357782 24.23874192295139 0.1083796466339928 -79.12751677852349 0.3818791946308725 1.1449664429530202 3.1812080536912752 1.338314863683609 26.589264888365463 1.0 0.0 0.0 0.0
29 55.2 0.11017227682342433 373.54903800138015 24.77427954027034 0.11337754268819877 -78.7248322147651 0.3812080536912752 1.1503355704697986 3.1879194630872485 1.3777776547396654 27.96704254310513 1.0 0.0 0.0 0.0
30 55.2 0.11657094368670563 372.5328738590347 25.295586301331902 0.11836796162626109 -78.32214765100672 0.3805369127516779 1.1557046979865773 3.1946308724832213 1.4178301603426042 29.384872703447733 1.0 0.0 0.0 0.0
31 55.2 0.12322883612232942 371.5272506451412 25.802892154996478 0.12334555639174455 -77.91946308724832 0.37986577181208053 1.1610738255033557 3.2013422818791946 1.4584145327996754 30.84328723624741 1.0 0.0 0.0 0.0
32 55.2 0.1301438792952778 370.53202953219653 26.296469673605195 0.12830575296378952 -77.51677852348993 0.37919463087248323 1.1664429530201343 3.208053691275168 1.4994765889079467 32.34276382515536 1.0 0.0 0.0 0.0
33 55.2 0.13731375516917335 369.54707426872096 26.776623898272813 0.13324467887267652 -77.11409395973155 0.3785234899328859 1.1718120805369128 3.214765100671141 1.5409657641226866 33.88372958927805 1.0 0.0 0.0 0.0
34 55.2 0.14473593799995935 368.57225112082875 27.24368336107655 0.13815908999734083 -76.71140939597315 0.3778523489932886 1.1771812080536912 3.221476510067114 1.582835016798015 35.46656460607606 1.0 0.0 0.0 0.0
