cell,V_kV,Wsyn_MeV,Wout_pred_MeV,Wout_transoptr_MeV,dW_pred_MeV,dW_transoptr_MeV,Sig0T_deg,Sig0L_deg,A01,A10,Phi_deg,a_cm,m,B,L_cm,Z_cm,k_cm_inv,status
1,55.2,0.03,0.03,0.03,0.0,0.0,406.93979898751616,0.0,6.249999999999999,0.0,-90.0,0.4,1.0,3.0,0.7399059246921634,0.7399059246921634,4.245935258454441,mock_ok
2,55.2,0.03,0.030158565838880373,0.030158565838880373,0.00015856583888037437,0.0001585658388803743,405.5594390724517,3.982032632718803,6.23754408567688,0.0028726404919600743,-89.59731543624162,0.3993288590604027,1.0053691275167784,3.0067114093959733,0.7399059246921634,1.4798118493843269,4.245935258454441,mock_ok
3,55.2,0.030158565838880373,0.030475396275843294,0.030475396275843294,0.00031683043696292053,0.0003168304369629213,404.19485314903267,5.628769287889854,6.225340819918235,0.00574024890112238,-89.19463087248322,0.3986577181208054,1.010738255033557,3.0134228187919465,0.7418586503755483,2.2216704997598753,4.234759077082186,mock_ok
4,55.2,0.030475396275843294,0.030951508882023807,0.030951508882023807,0.00047611260618051247,0.0004761126061805128,402.84579801231075,6.90009134852947,6.213381848910504,0.008627145929772276,-88.79194630872483,0.39798657718120806,1.0161073825503355,3.0201342281879193,0.7457450738918188,2.967415573651694,4.212689783111497,mock_ok
5,55.2,0.030951508882023807,0.031589170096066536,0.031589170096066536,0.000637661214042729,0.0006376612140427292,401.5120355977617,7.9853692090142525,6.201654672540278,0.01155639993194921,-88.38926174496645,0.39731543624161075,1.0214765100671142,3.0268456375838926,0.7515475442807442,3.7189631179324385,4.180164884440413,mock_ok
6,55.2,0.031589170096066536,0.032391803243226235,0.032391803243226235,0.000802633147159701,0.0008026331471596981,400.19333284719664,8.958979557738152,6.190143236418358,0.014549438044083738,-87.98657718120805,0.39664429530201345,1.0268456375838926,3.033557046979866,0.7592493592028323,4.478212477135271,4.137761350089623,mock_ok
7,55.2,0.032391803243226235,0.03336387607878307,0.03336387607878307,0.0009720728355568389,0.0009720728355568364,398.88946157885783,9.859375414075878,6.178828640378323,0.017625684048411194,-87.58389261744966,0.39597315436241615,1.0322147651006712,3.040268456375839,0.7688340518896738,5.247046529024945,4.086177824549068,mock_ok
8,55.2,0.03336387607878307,0.03451076960080809,0.03451076960080809,0.0011468935220250195,0.0011468935220250165,397.6001983615515,10.709311471915548,6.167689925561529,0.02080222596611388,-87.18120805369128,0.3953020134228188,1.0375838926174497,3.046979865771812,0.7802844633420796,6.027330992367024,4.026214542493726,mock_ok
9,55.2,0.03451076960080809,0.035838630371150704,0.035838630371150704,0.0013278607703426162,0.0013278607703426162,396.3253243926688,11.523284125381165,6.156704899937394,0.024093522041007176,-86.77852348993288,0.3946308724832215,1.0429530201342283,3.053691275167785,0.793581680632562,6.820912672999587,3.9587514811148834,mock_ok
10,55.2,0.035838630371150704,0.037354209339524234,0.037354209339524234,0.001515578968373528,0.0015155789683735307,395.0646253799579,12.310885298683958,6.145850961430085,0.027511158604438174,-86.3758389261745,0.3939597315436242,1.0483221476510067,3.0604026845637584,0.8087039284008851,7.629616601400472,3.8847253528271035,mock_ok
11,55.2,0.037354209339524234,0.03906469106969106,0.03906469106969106,0.0017104817301668211,0.0017104817301668226,393.8178914269123,13.07853864224448,6.1351058790705375,0.031063676106649944,-85.97315436241611,0.3932885906040269,1.0536912751677852,3.0671140939597317,0.8256255015475278,8.455242102948,3.8051061258419048,mock_ok
12,55.2,0.03906469106969106,0.040977518158188744,0.040977518158188744,0.00191282708849769,0.0019128270884976872,392.58491692164733,13.830499226339192,6.12444849609521,0.0347564795096457,-85.57046979865771,0.3926174496644296,1.0590604026845638,3.073825503355705,0.8443158223277528,9.299557925275753,3.7208738371484245,mock_ok
13,55.2,0.040977518158188744,0.04310021633593088,0.04310021633593088,0.0021226981777421293,0.0021226981777421328,391.3655004291419,14.569482412708176,6.113859324811865,0.038591845923058504,-85.16778523489933,0.3919463087248322,1.0644295302013422,3.0805369127516777,0.8647386940112847,10.164296619287038,3.6329965055880753,mock_ok
